Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Mazda 6,1095,1856,-41.00,18380,26597,-30.89
Honda Accord,21689,23778,-8.79,226152,239077,-5.41
Nissan Altima,13531,13406,0.93,173500,180005,-3.61
Volkswagen Arteon,366,0,0.00,1849,0,0.00
Toyota Camry,26602,26914,-1.16,285058,289801,-1.64
Volkswagen CC,2,30,-93.33,52,439,-88.15
Honda Clarity FCV,635,2100,-69.76,9994,15414,-35.16
Honda Insight,1614,2140,-24.58,20398,8445,141.54
Hyundai Ioniq,2769,1121,147.01,16915,12727,32.91
Nissan Leaf,887,1234,-28.12,9998,11920,-16.12
Subaru Legacy,2670,2752,-2.98,28847,33832,-14.73
Toyota Mirai,89,119,-25.21,1338,1263,5.94
Kia Optima,7248,7280,-0.44,82914,87125,-4.83
Volkswagen Passat,211,2602,-91.89,13181,36129,-63.52
Toyota Prius Family,6679,6306,5.92,56937,75231,-24.32
Hyundai Sonata,6062,7265,-16.56,74430,88240,-15.65
Kia Stinger,1354,1345,0.67,11770,14344,-17.94
