Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
BMW 5-Series,2837,3729,-23.92,33201,34910,-4.90
Volvo 90-Series,204,586,-65.19,3643,8629,-57.78
Audi A6,1252,47,2563.83,14417,5821,147.67
Audi A7,294,55,434.55,4255,1959,117.20
Mercedes-Benz E / CLS-Class,3177,4186,-24.10,32826,36201,-9.32
Lexus ES,3870,4531,-14.59,41766,38875,7.44
Genesis G80,625,0,0.00,5488,6924,-20.74
Lexus GS,222,387,-42.64,2792,5545,-49.65
Infiniti Q70,154,302,-49.01,2350,3778,-37.80
Acura RLX,68,139,-51.08,867,1556,-44.28
Jaguar XF,44,171,-74.27,1078,1944,-44.55
