Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Porsche Cayenne,1216,1215,0.08,15547,8429,84.45
Land Rover Discovery / LR4,451,938,-51.92,6869,8091,-15.10
Jaguar F-Pace,1325,1437,-7.79,11686,9770,19.61
Mercedes-Benz GLE-Class,4782,3671,30.26,36825,38288,-3.82
Lexus GX,2161,1936,11.62,19537,21033,-7.11
Acura MDX,4368,3955,10.44,41599,41142,1.11
Audi Q7,2971,3146,-5.56,27520,30416,-9.52
Audi Q8,1051,161,552.80,11335,161,6940.37
Infiniti QX60,3604,3392,6.25,35225,35187,0.11
Land Rover Range Rover Sport,2584,2014,28.30,20468,19335,5.86
Land Rover Range Rover Velar,1540,1318,16.84,13949,14079,-0.92
Lexus RX,9271,8608,7.70,85441,88166,-3.09
BMW X5,4444,1379,222.26,41479,32499,27.63
BMW X6,26,569,-95.43,3301,5683,-41.91
Volvo XC90,2720,2301,18.21,27629,25953,6.46
