Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Mazda 3,3481,4093,-14.95,43987,55387,-20.58
Hyundai Accent,1706,1483,15.04,21721,23303,-6.79
Volkswagen Beetle,967,796,21.48,15713,12946,21.37
Honda Civic,23577,22450,5.02,279061,277486,0.57
Mini Cooper,1786,2096,-14.79,18600,22147,-16.02
Toyota Corolla,22378,22020,1.63,256356,257188,-0.32
Hyundai Elantra,13583,18312,-25.82,139052,167191,-16.83
Honda Fit,2800,920,204.35,30068,33584,-10.47
Kia Forte,6980,9537,-26.81,80265,84425,-4.93
Volkswagen Golf,2963,3005,-1.40,31976,37358,-14.41
Subaru Impreza,5696,5499,3.58,54989,65039,-15.45
Volkswagen Jetta,8582,10148,-15.43,83323,71326,16.82
Mitsubishi Mirage,2135,1730,23.41,23312,21046,10.77
Kia Rio,1939,2405,-19.38,21125,19696,7.26
Nissan Sentra,13889,17611,-21.13,162039,182758,-11.34
Kia Soul,6761,7951,-14.97,84388,85839,-1.69
Hyundai Tiburon,11288,0,0.00,11288,0,0.00
Hyundai Veloster,834,921,-9.45,11220,8857,26.68
Nissan Versa,3373,5869,-42.53,60506,63952,-5.39
Toyota Yaris,883,1455,-39.31,20074,24521,-18.14
