Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
BMW 2-Series,690,664,3.92,6445,7916,-18.58
BMW 3-Series,3462,3445,0.49,36299,38176,-4.92
BMW 4-Series,1030,3191,-67.72,16732,26657,-37.23
Volvo 60-Series,2550,1120,127.68,16240,11040,47.10
Mercedes-Benz A-Class,1491,0,0.00,13234,0,0.00
Audi A3,942,1121,-15.97,8160,16700,-51.14
Audi A4,2178,2267,-3.93,22227,30795,-27.82
Audi A5,1705,1761,-3.18,19027,23005,-17.29
Mercedes-Benz B-Class,1,1,0.00,10,134,-92.54
Mercedes-Benz C-Class,3096,0,0.00,40994,42253,-2.98
Mercedes-Benz CLA-Class,1122,5581,-79.90,10227,22729,-55.00
Genesis G70,1021,0,0.00,9528,1,952700.00
BMW i3,359,424,-15.33,3721,5274,-29.45
Lexus IS,843,1511,-44.21,12743,18904,-32.59
Infiniti Q50,2100,2074,1.25,21855,28254,-22.65
Infiniti Q60,595,809,-26.45,4113,7153,-42.50
Lexus RC,351,211,66.35,3713,2804,32.42
Acura TLX,2188,2263,-3.31,21114,25180,-16.15
Jaguar XE,180,306,-41.18,3223,3687,-12.58
