Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Land Rover Discovery Sport,1058,1159,-8.71,9596,9275,3.46
Jaguar E-Pace,297,465,-36.13,3716,4779,-22.24
Audi eTron,462,0,0.00,4002,0,0.00
Mercedes-Benz GLA-Class,2448,2093,16.96,16957,19328,-12.27
Mercedes-Benz GLC-Class,7083,5649,25.39,58488,56236,4.00
Lexus NX,4266,4180,2.06,44340,47693,-7.03
Audi Q3,1943,878,121.30,8030,15508,-48.22
Audi Q5,5960,6252,-4.67,55096,55946,-1.52
Infiniti QX30,102,399,-74.44,3127,7038,-55.57
Infiniti QX50,1468,3160,-53.54,15078,19051,-20.85
Land Rover Range Rover Evoque,907,775,17.03,8794,6994,25.74
Lexus UX,1209,0,0.00,13200,0,0.00
BMW X1,1643,1497,9.75,14316,23780,-39.80
BMW X2,829,1510,-45.10,9164,12417,-26.20
Volvo XC40,1048,1056,-0.76,14264,10082,41.48
Volvo XC60,2285,2564,-10.88,24456,26075,-6.21
