Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Toyota C-HR,3900,3683,5.89,41677,41613,0.15
Mini Countryman,1176,1070,9.91,12188,15212,-19.88
Honda CR-V,33344,27825,19.83,314083,305454,2.82
Subaru CrossTrek,12137,11049,9.85,110634,122464,-9.66
Mazda CX-3,1386,1052,31.75,13166,14767,-10.84
Mazda CX-5,10970,9271,18.33,124670,125999,-1.05
Mitsubishi Eclipse Cross,1046,1206,-13.27,16905,6719,151.60
Subaru Forester,15910,15981,-0.44,147357,137905,6.85
Honda HR-V,10130,4961,104.19,80444,74940,7.34
Nissan Juke,1,7,-85.71,11,722,-98.48
Nissan Kicks,3362,3264,3.00,50436,13576,271.51
Hyundai Kona,5514,4330,27.34,60652,32795,84.94
Hyundai Nexo,17,0,0.00,214,0,0.00
Kia Niro,1983,2164,-8.36,19945,24264,-17.80
Mitsubishi Outlander,1733,2152,-19.47,32204,33262,-3.18
Mitsubishi Outlander PHEV,255,309,-17.48,2169,3059,-29.09
Mitsubishi Outlander Sport,2203,2605,-15.43,23648,31726,-25.46
Toyota RAV4,37499,34004,10.28,362121,353149,2.54
Nissan Rogue,27082,27748,-2.40,299382,337727,-11.35
Kia Sportage,7623,6626,15.05,72727,68898,5.56
Volkswagen Tiguan,8333,7586,9.85,93629,87413,7.11
