Segment,Manufacturer,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Midsize Car,General Motors,Buick Regal,1121,1076,1211,970,1119,896,808,905,743,0,0,0
Midsize Car,General Motors,Chevrolet Bolt,1420,1363,1533,1289,1487,1190,1589,1779,1462,0,0,0
Midsize Car,General Motors,Chevrolet Malibu,11249,10799,12149,10067,0,9292,10668,11949,9815,0,0,0
Midsize Car,General Motors,Chevrolet Volt,829,796,895,372,430,344,288,322,265,0,0,0
Midsize Car,FCA,Chrysler 200,12,6,8,3,6,0,3,4,3,0,0,0
Midsize Car,FCA,Dodge Avenger,0,0,0,0,1,0,0,0,0,0,0,0
Midsize Car,Ford Motors,Ford C-Max,17,5,6,7,8,6,0,0,0,0,0,0
Midsize Car,Ford Motors,Ford Fusion,13712,13163,14808,17767,20501,16400,12354,13837,11366,0,0,0
Midsize Car,Honda,Honda Accord,18786,20254,25371,19239,23892,21893,24144,30558,20326,21689,21733,0
Midsize Car,Honda,Honda Clarity FCV,1271,1281,1416,1079,906,1092,852,914,548,635,855,0
Midsize Car,Honda,Honda Insight,1762,1587,2151,2028,2653,2367,2218,2477,1541,1614,1579,0
Midsize Car,Hyundai-Kia,Hyundai Ioniq,955,1032,1323,1211,1471,1607,2891,2152,1504,2769,1495,0
Midsize Car,Hyundai-Kia,Hyundai Sonata,6212,6481,8827,8634,8599,8379,6976,8231,6029,6062,5931,0
Midsize Car,Hyundai-Kia,Kia Optima,5853,7212,9603,8411,8300,11090,8732,9259,7206,7248,6568,0
Midsize Car,Hyundai-Kia,Kia Stinger,939,1034,1254,939,1410,1345,1092,1422,981,1354,1057,0
Midsize Car,Mazda,Mazda 6,1619,1906,3396,2340,2133,1681,1483,1608,1119,1095,1514,0
Midsize Car,Nissan,Nissan Altima,12189,16216,23075,16531,24218,16548,11236,22403,17553,13531,16551,0
Midsize Car,Nissan,Nissan Leaf,717,654,1314,951,1216,1156,938,1117,1048,887,1140,0
Midsize Car,Subaru,Subaru Legacy,2403,2683,3133,2991,2994,3222,3244,3121,2386,2670,2801,0
