Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Mazda 3,3507,4635,-24.34,40506,51294,-21.03
Fiat 500,265,529,-49.91,2568,3717,-30.91
Fiat 500L,62,84,-26.19,605,1231,-50.85
Hyundai Accent,1702,2536,-32.89,20015,21820,-8.27
Volkswagen Beetle,1208,999,20.92,14746,12150,21.37
Honda Civic,22337,24806,-9.95,255484,255036,0.18
Mini Cooper,1807,2050,-11.85,16814,20051,-16.14
Toyota Corolla,20354,20797,-2.13,233978,235168,-0.51
Chevrolet Cruze,1755,10517,-83.31,45276,109662,-58.71
Hyundai Elantra,14614,19923,-26.65,125469,148879,-15.72
Ford Fiesta,4454,3293,35.26,52833,36518,44.68
Honda Fit,2707,1507,79.63,27268,32664,-16.52
Kia Forte,6280,6470,-2.94,73285,74888,-2.14
Volkswagen Golf,2917,3333,-12.48,29013,34353,-15.54
Subaru Impreza,5861,6186,-5.25,49293,59540,-17.21
Volkswagen Jetta,8090,10631,-23.90,74741,61178,22.17
Mitsubishi Mirage,2196,1709,28.50,21177,19316,9.63
Kia Rio,1722,2009,-14.29,19186,17291,10.96
Nissan Sentra,10493,16795,-37.52,148150,165147,-10.29
Chevrolet Sonic,650,2396,-72.87,10631,17847,-40.43
Kia Soul,5985,10540,-43.22,77627,77888,-0.34
Chevrolet Spark,2002,2312,-13.41,20264,18429,9.96
Hyundai Veloster,728,746,-2.41,10386,7936,30.87
Nissan Versa,2914,3782,-22.95,57133,58083,-1.64
Toyota Yaris,333,1692,-80.32,19191,23066,-16.80
